Periode,Bulan,Prediksi,Lower_95CI,Upper_95CI
2026-05,Mei 2026,729744,397445,1062043
2026-06,Juni 2026,672486,329891,1015081
2026-07,Juli 2026,829660,426808,1232512
2026-08,Agustus 2026,706999,291658,1122340
2026-09,September 2026,721886,281234,1162539
2026-10,Oktober 2026,770854,320070,1221638
2026-11,November 2026,773794,310146,1237442
2026-12,Desember 2026,808831,338015,1279647
2027-01,Januari 2027,690938,212883,1168992
2027-02,Februari 2027,357825,-125019,840669
2027-03,Maret 2027,740878,253724,1228033
2027-04,April 2027,660092,169818,1150366
